2015-12-05 18:20:19,154 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: web-directory:web-directory:0.0.1-SNAPSHOT @ /home/charly/Fac/JEE/Projet/workspace/web-directory/pom.xml.
2015-12-05 18:20:22,489 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 18:20:22,500 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
2015-12-05 18:20:22,506 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 18:20:22,506 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/test/resources
2015-12-05 18:20:22,588 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /web-directory/src
2015-12-05 18:20:22,589 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /web-directory/src/test/java because it overlaps with /web-directory/src
2015-12-05 18:20:24,164 [Worker-29] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-12-05 18:20:24,789 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: web-directory:web-directory:0.0.1-SNAPSHOT @ /home/charly/Fac/JEE/Projet/workspace/web-directory/pom.xml.
2015-12-05 18:20:26,463 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-05 18:20:26,483 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/charly/Fac/JEE/Projet/workspace/web-directory/src/main/resources
